idx;id;sci_name;com_name;class;order
5714;10460;Muscicapa dauurica;Asian Brown Flycatcher;Aves;Passeriformes
5715;10462;Muscicapa ferruginea;Ferruginous Flycatcher;Aves;Passeriformes
5716;10463;Muscicapa gambagae;Gambaga Flycatcher;Aves;Passeriformes
5717;10464;Muscicapa griseisticta;Grey-streaked Flycatcher;Aves;Passeriformes
5718;10466;Muscicapa muttui;Brown-breasted Flycatcher;Aves;Passeriformes
5719;10468;Muscicapa segregata;Sumba Brown Flycatcher;Aves;Passeriformes
5720;10469;Muscicapa sethsmithi;Yellow-footed Flycatcher;Aves;Passeriformes
5721;10470;Muscicapa sibirica;Dark-sided Flycatcher;Aves;Passeriformes
5722;10472;Muscicapa striata;Spotted Flycatcher;Aves;Passeriformes
5723;10475;Artomyias ussheri;Ussher's Flycatcher;Aves;Passeriformes
5724;10476;Muscicapa williamsoni;Brown-streaked Flycatcher;Aves;Passeriformes
5725;10477;Muscigralla brevicauda;Short-tailed Field Tyrant;Aves;Passeriformes
5726;10478;Muscipipra vetula;Shear-tailed Grey Tyrant;Aves;Passeriformes
5727;10479;Muscisaxicola albifrons;White-fronted Ground Tyrant;Aves;Passeriformes
5728;10480;Muscisaxicola albilora;White-browed Ground Tyrant;Aves;Passeriformes
5729;10481;Muscisaxicola alpinus;Paramo Ground Tyrant;Aves;Passeriformes
5730;10482;Muscisaxicola capistratus;Cinnamon-bellied Ground Tyrant;Aves;Passeriformes
5731;10483;Muscisaxicola cinereus;Cinereous Ground Tyrant;Aves;Passeriformes
5732;10484;Muscisaxicola flavinucha;Ochre-naped Ground Tyrant;Aves;Passeriformes
5733;10485;Muscisaxicola frontalis;Black-fronted Ground Tyrant;Aves;Passeriformes
5734;10487;Muscisaxicola juninensis;Puna Ground Tyrant;Aves;Passeriformes
5735;10488;Muscisaxicola maclovianus;Dark-faced Ground Tyrant;Aves;Passeriformes
5736;10489;Muscisaxicola maculirostris;Spot-billed Ground Tyrant;Aves;Passeriformes
5737;10490;Muscisaxicola rufivertex;Rufous-naped Ground Tyrant;Aves;Passeriformes
5738;10491;Tauraco rossae;Ross's Turaco;Aves;Musophagiformes
5739;10493;Tauraco violaceus;Violet Turaco;Aves;Musophagiformes
5740;10503;Mustelirallus albicollis;Ash-throated Crake;Aves;Gruiformes
5741;10504;Mustelirallus erythrops;Paint-billed Crake;Aves;Gruiformes
5742;10508;Myadestes coloratus;Varied Solitaire;Aves;Passeriformes
5743;10509;Myadestes elisabeth;Cuban Solitaire;Aves;Passeriformes
5744;10510;Myadestes genibarbis;Rufous-throated Solitaire;Aves;Passeriformes
5745;10511;Myadestes melanops;Black-faced Solitaire;Aves;Passeriformes
5746;10513;Myadestes obscurus;Omao;Aves;Passeriformes
5747;10514;Myadestes occidentalis;Brown-backed Solitaire;Aves;Passeriformes
5748;10516;Myadestes ralloides;Andean Solitaire;Aves;Passeriformes
5749;10517;Myadestes townsendi;Townsend's Solitaire;Aves;Passeriformes
5750;10518;Myadestes unicolor;Slate-colored Solitaire;Aves;Passeriformes
5751;10520;Mycerobas affinis;Collared Grosbeak;Aves;Passeriformes
5752;10521;Mycerobas carnipes;White-winged Grosbeak;Aves;Passeriformes
5753;10522;Mycerobas icterioides;Black-and-yellow Grosbeak;Aves;Passeriformes
5754;10523;Mycerobas melanozanthos;Spot-winged Grosbeak;Aves;Passeriformes
5755;10524;Mycteria americana;Wood Stork;Aves;Ciconiiformes
5756;10527;Mycteria leucocephala;Painted Stork;Aves;Ciconiiformes
5757;10535;Myiagra albiventris;Samoan Flycatcher;Aves;Passeriformes
5758;10536;Myiagra alecto;Shining Flycatcher;Aves;Passeriformes
5759;10537;Myiagra atra;Biak Black Flycatcher;Aves;Passeriformes
5760;10539;Myiagra caledonica;Melanesian Flycatcher;Aves;Passeriformes
5761;10540;Myiagra castaneigularis;Chestnut-throated Flycatcher;Aves;Passeriformes
5762;10542;Myiagra cyanoleuca;Satin Flycatcher;Aves;Passeriformes
5763;10545;Myiagra erythrops;Palau Flycatcher;Aves;Passeriformes
5764;10546;Myiagra ferrocyanea;Steel-blue Flycatcher;Aves;Passeriformes
5765;10548;Myiagra galeata;Moluccan Flycatcher;Aves;Passeriformes
5766;10549;Myiagra inquieta;Restless Flycatcher;Aves;Passeriformes
5767;10550;Myiagra nana;Paperbark Flycatcher;Aves;Passeriformes
5768;10552;Myiagra pluto;Pohnpei Flycatcher;Aves;Passeriformes
5769;10553;Myiagra rubecula;Leaden Flycatcher;Aves;Passeriformes
5770;10554;Myiagra ruficollis;Broad-billed Flycatcher;Aves;Passeriformes
5771;10555;Myiagra vanikorensis;Vanikoro Flycatcher;Aves;Passeriformes
5772;10556;Myiarchus antillarum;Puerto Rican Flycatcher;Aves;Passeriformes
5773;10557;Myiarchus apicalis;Apical Flycatcher;Aves;Passeriformes
5774;10558;Myiarchus barbirostris;Sad Flycatcher;Aves;Passeriformes
5775;10559;Myiarchus cephalotes;Pale-edged Flycatcher;Aves;Passeriformes
5776;10560;Myiarchus cinerascens;Ash-throated Flycatcher;Aves;Passeriformes
5777;10561;Myiarchus crinitus;Great Crested Flycatcher;Aves;Passeriformes
5778;10562;Myiarchus ferox;Short-crested Flycatcher;Aves;Passeriformes
5779;10563;Myiarchus magnirostris;Galapagos Flycatcher;Aves;Passeriformes
5780;10564;Myiarchus nugator;Grenada Flycatcher;Aves;Passeriformes
5781;10565;Myiarchus nuttingi;Nutting's Flycatcher;Aves;Passeriformes
5782;10566;Myiarchus oberi;Lesser Antillean Flycatcher;Aves;Passeriformes
5783;10567;Myiarchus panamensis;Panama Flycatcher;Aves;Passeriformes
5784;10568;Myiarchus phaeocephalus;Sooty-crowned Flycatcher;Aves;Passeriformes
5785;10569;Myiarchus sagrae;La Sagra's Flycatcher;Aves;Passeriformes
5786;10570;Myiarchus semirufus;Rufous Flycatcher;Aves;Passeriformes
5787;10571;Myiarchus stolidus;Stolid Flycatcher;Aves;Passeriformes
5788;10572;Myiarchus swainsoni;Swainson's Flycatcher;Aves;Passeriformes
5789;10573;Myiarchus tuberculifer;Dusky-capped Flycatcher;Aves;Passeriformes
5790;10574;Myiarchus tyrannulus;Brown-crested Flycatcher;Aves;Passeriformes
5791;10575;Myiarchus validus;Rufous-tailed Flycatcher;Aves;Passeriformes
5792;10576;Myiarchus venezuelensis;Venezuelan Flycatcher;Aves;Passeriformes
5793;10577;Myiarchus yucatanensis;Yucatan Flycatcher;Aves;Passeriformes
5794;10578;Myiobius atricaudus;Black-tailed Myiobius;Aves;Passeriformes
5795;10579;Myiobius barbatus;Whiskered Myiobius;Aves;Passeriformes
5796;10580;Myiobius sulphureipygius;Sulphur-rumped Myiobius;Aves;Passeriformes
5797;10581;Myiobius villosus;Tawny-breasted Myiobius;Aves;Passeriformes
5798;10582;Myioborus albifrons;White-fronted Whitestart;Aves;Passeriformes
5799;10583;Myioborus brunniceps;Brown-capped Whitestart;Aves;Passeriformes
5800;10584;Myioborus castaneocapilla;Tepui Whitestart;Aves;Passeriformes
5801;10586;Myioborus melanocephalus;Spectacled Whitestart;Aves;Passeriformes
5802;10587;Myioborus miniatus;Slate-throated Whitestart;Aves;Passeriformes
5803;10588;Myioborus ornatus;Golden-fronted Whitestart;Aves;Passeriformes
5804;10590;Myioborus pictus;Painted Whitestart;Aves;Passeriformes
5805;10591;Myioborus torquatus;Collared Whitestart;Aves;Passeriformes
5806;10592;Myiodynastes bairdii;Baird's Flycatcher;Aves;Passeriformes
5807;10593;Myiodynastes chrysocephalus;Golden-crowned Flycatcher;Aves;Passeriformes
5808;10594;Myiodynastes hemichrysus;Golden-bellied Flycatcher;Aves;Passeriformes
5809;10595;Myiodynastes luteiventris;Sulphur-bellied Flycatcher;Aves;Passeriformes
5810;10596;Myiodynastes maculatus;Streaked Flycatcher;Aves;Passeriformes
