24999	Breviceps gibbosus	Giant Rain Frog
25001	Breviceps adspersus	Common Rain Frog
25002	Breviceps mossambicus	Mozambique Rain Frog
25003	Breviceps fuscus	Black Rain Frog
25078	Gastrophryne carolinensis	Eastern Narrow-mouthed Toad
25092	Elachistocleis bicolor	Two-colored oval frog
25180	Micryletta steinegeri	Stejneger's Paddy Frog
25183	Metaphrynella sundana	Bornean Tree Hole Frog
25185	Hypopachus variolosus	Sheep Frog
25224	Crinia parinsignifera	Beeping Froglet
25225	Crinia deserticola	Desert Froglet
25231	Crinia signifera	Common Eastern Froglet
25232	Crinia georgiana	Quacking Froglet
25233	Crinia glauerti	Rattling Froglet
25234	Crinia tinnula	Wallum Froglet
25236	Crinia pseudinsignifera	Bleating Froglet
25240	Assa darlingtoni	Pouched Frog
25243	Geocrinia leai	Ticking Frog
25246	Geocrinia victoriana	Eastern Smooth Frog
25250	Pseudophryne raveni	Copper-backed Brood Frog
25251	Pseudophryne semimarmorata	Southern Brood Frog
25257	Pseudophryne coriacea	Red-backed Brood Frog
25258	Pseudophryne australis	Red-crowned Toadlet
25260	Pseudophryne bibronii	Brown Brood Frog
25278	Uperoleia fusca	Dusky Toadlet
25281	Uperoleia laevigata	Smooth Toadlet
25302	Paracrinia haswelli	Haswell's Froglet
25312	Pelobates fuscus	Common Spadefoot
25316	Pelodytes ibericus	Iberian parsley frog
25325	Arthroleptella villiersi	De Villiers's Moss Frog
25369	Phrynobatrachus mababiensis	Mababe puddle frog
25383	Phrynobatrachus natalensis	Natal Puddle Frog
25411	Cacosternum boettgeri	Boettger's dainty frog
25413	Cacosternum nanum	Bronze Caco
25430	Poyntonia paludicola	Montane Marsh Frog
25488	Rana arvalis	Moor Frog
25545	Rana aurora	Northern Red-legged Frog
25591	Rana temporaria	European Common Frog
25669	Rana dalmatina	Agile Frog
256704	Neonemobius mormonius	Collared Ground Cricket
25763	Ptychadena mossambica	Mozambique ridged frog
25778	Ptychadena anchietae	Anchieta's Ridged Frog
25801	Tomopterna natalensis	Natal sand frog
25806	Tomopterna delalandii	Cape sand frog
25859	Occidozyga lima	Green Puddle Frog
25861	Occidozyga martensii	Round-tongued Floating Frog
26053	Fejervarya limnocharis	Paddy Field Frog
26212	Strongylopus bonaespei	Banded Stream Frog
26214	Strongylopus grayii	Clicking Stream Frog
26218	Strongylopus fasciatus	Striped Stream Frog
26258	Hoplobatrachus tigerinus	Indus Valley Bullfrog
26433	Pseudophilautus wynaadensis	Waynad bush frog
26571	Polypedates megacephalus	Spot-legged Tree Frog
26592	Polypedates leucomystax	Common Southeast Asian Tree Frog
26608	Buergeria buergeri	Kajika Frog
26651	Kurixalus idiootocus	Temple Tree Frog
26652	Kurixalus eiffingeri	Eiffinger's Tree Frog
26656	Chiromantis xerampelina	Grey Foam-nest Tree Frog
26686	Rhinophrynus dorsalis	Mexican Burrowing Toad
26691	Scaphiopus couchii	Couch's Spadefoot
26695	Scaphiopus holbrookii	Eastern Spadefoot
26698	Spea multiplicata	Mexican Spadefoot
26699	Spea bombifrons	Plains Spadefoot
26702	Spea hammondii	Western Spadefoot
26704	Spea intermontana	Great Basin Spadefoot
319989	Cryptotympana atrata	Eastern horse cicada
324893	Cyrtoxipha columbiana	Columbian Trig
325322	Platycleis affinis	Tuberous Bush-cricket
325363	Graptopsaltria nigrofuscata	Large Brown Cicada
326091	Orchelimum erythrocephalum	Red-headed Meadow Katydid
326272	Physalaemus biligonigerus	Weeping Frog
326296	Bufo bufo	European Toad
326303	Kaloula pulchra	Asian Painted Frog
326305	Arthroleptis stenodactylus	Common Squeaker
332307	Oecanthus pellucens	Italian Tree Cricket
332407	Pholidoptera aptera	Alpine Dark Bush-cricket
333564	Gomphocerus sibiricus	Club-legged Grasshopper
335580	Chorthippus albomarginatus	Lesser Marsh Grasshopper
337316	Zammara smaragdina	Emerald Cicada
338194	Apis cerana	Asian Honey Bee
338215	Chremistica ochracea	Peaceful Cicada
338535	Euchorthippus declivus	Common Straw Grasshopper
338899	Aleeta curvicosta	Floury Baker
338901	Cystosoma saundersii	Bladder Cicada
342370	Amphipsalta cingulata	Clapping Cicada
342403	Notopsalta sericea	Clay Bank Cicada
347888	Euconocephalus nasutus	Irritating Grasshopper
348607	Euconocephalus varius	Euconocephalus varius
355995	Tanna japonensis	Evening Cicada
356418	Platypedia minor	Minor Cicada
358234	Truljalia hibinonis	Green Tree Cricket
358847	Mogannia formosana	Mogannia formosana
358848	Mogannia hebes	Grass Cicada
359390	Hyalessa maculaticollis	Robust Cicada
360353	Polyphylla fullo	Pine Chafer
360851	Suisha coreana	Suisha coreana
361905	Lyristes plebejus	Common Cicada
362292	Ruspolia nitidula	Large Conehead
362293	Platycleis albopunctata	Grey Bush-cricket
362296	Nemobius sylvestris	Wood Cricket
362307	Stenobothrus lineatus	Stripe-winged Grasshopper
362311	Omocestus rufipes	Woodland Grasshopper
362312	Chorthippus vagans	Heath Grasshopper
362341	Cicadetta montana	New Forest Cicada
362756	Cicada barbara	Cicada barbara
369803	Ephippiger ephippiger	Saddle-backed Bush Cricket
371315	Chorthippus biguttulus	Bow-winged Grasshopper
371382	Orchelimum minor	Lesser Pine Katydid
372673	Conocephalus melaenus	Black-kneed Meadow Katydid
387844	Conocephalus albescens	whitish meadow katydid
397920	Teleogryllus commodus	Australian Black Field Cricket
40308	Myotis dasycneme	pond bat
40446	Vespertilio murinus	Particoloured Bat
40645	Rhinolophus ferrumequinum	Greater Horseshoe Bat
40717	Hipposideros armiger	Great Roundleaf Bat
40811	Epomophorus wahlbergi	Wahlberg's Epauletted Fruit Bat
40812	Epomophorus gambianus	Gambian Epauletted Fruit Bat
40827	Eidolon helvum	Straw-coloured Fruit Bat
40843	Hypsignathus monstrosus	Hammer-headed Fruit Bat
40902	Pteropus vampyrus	Large Flying-fox
40905	Pteropus poliocephalus	Grey-headed Flying-fox
40908	Pteropus scapulatus	Little Red Flying-fox
40911	Pteropus conspicillatus	Spectacled Flying-fox
40913	Pteropus alecto	Black Flying-fox
410758	Austrosalomona falcata	Olive-green Coastal Katydid
410834	Sapajus nigritus	Black capuchin
41168	Desmodus rotundus	Common Vampire Bat
41298	Tadarida teniotis	European Free-tailed Bat
41337	Saccopteryx bilineata	Greater Sac-winged Bat
41339	Saccopteryx leptura	Lesser Sac-winged Bat
41461	Delphinapterus leucas	Beluga
41478	Eschrichtius robustus	Grey Whale
41482	Tursiops truncatus	Common Bottlenose Dolphin
41494	Stenella coeruleoalba	Striped Dolphin
41503	Stenella frontalis	Atlantic Spotted Dolphin
41521	Orcinus orca	Orca
41529	Globicephala melas	Long-finned Pilot Whale
41539	Pseudorca crassidens	False Killer Whale
415442	Teleogryllus emma	Emma Field Cricket
41562	Balaenoptera physalus	Fin Whale
41566	Megaptera novaeangliae	Humpback Whale
41570	Eubalaena glacialis	North Atlantic Right Whale
41571	Eubalaena australis	Southern Right Whale
41638	Ursus americanus	American Black Bear
41663	Procyon lotor	Common Raccoon
41670	Nasua nasua	South American Coati
41673	Nasua narica	White-nosed Coati
41676	Bassariscus astutus	Ringtail
41678	Potos flavus	Kinkajou
41702	Pagophilus groenlandicus	Harp Seal
41708	Phoca vitulina	Harbor Seal
41720	Erignathus barbatus	Bearded Seal
41728	Mirounga angustirostris	Northern Elephant Seal
41729	Mirounga leonina	Southern Elephant Seal
41731	Leptonychotes weddellii	Weddell Seal
41733	Halichoerus grypus	Grey Seal
41740	Zalophus californianus	California Sea Lion
41742	Arctocephalus pusillus	Brown Fur Seal
41751	Arctocephalus gazella	Antarctic Fur Seal
41755	Eumetopias jubatus	Steller Sea Lion
41757	Callorhinus ursinus	Northern Fur Seal
41774	Eira barbara	Tayra
41777	Lontra canadensis	North American River Otter
41796	Martes martes	Eurasian Pine Marten
41800	Martes foina	Stone Marten
41845	Pteronura brasiliensis	Giant Otter
41850	Lutra lutra	Eurasian Otter
41860	Enhydra lutris	Sea Otter
41886	Crocuta crocuta	Spotted Hyena
41964	Panthera leo	Lion
41970	Panthera onca	Jaguar
41974	Lynx canadensis	Canada Lynx
41976	Lynx rufus	Bobcat
41979	Lynx lynx	Eurasian Lynx
42007	Puma concolor	Mountain Lion
42048	Canis lupus	Gray Wolf
42051	Canis latrans	Coyote
42069	Vulpes vulpes	Red Fox
42076	Urocyon cinereoargenteus	Gray Fox
42087	Cerdocyon thous	Crab-eating Fox
42091	Chrysocyon brachyurus	Maned Wolf
42113	Pecari tajacu	Collared Peccary
42115	Tayassu pecari	White-lipped Peccary
42134	Sus scrofa	Wild Boar
42149	Hippopotamus amphibius	Common Hippopotamus
42161	Dama dama	European Fallow Deer
42166	Axis axis	Chital
42183	Capreolus pygargus	Eastern Roe Deer
42184	Capreolus capreolus	Western Roe Deer
42186	Muntiacus muntjak	Southern Red Muntjac
42187	Muntiacus reevesi	Reeves's Muntjac
42193	Hydropotes inermis	Water Deer
42199	Rangifer tarandus	Caribou
42210	Cervus nippon	Sika Deer
42220	Odocoileus hemionus	Mule Deer
42223	Odocoileus virginianus	White-tailed Deer
42278	Aepyceros melampus	Impala
42280	Connochaetes taurinus	Common Wildebeest
42347	Rupicapra rupicapra	Northern Chamois
423656	Lycalopex gymnocerca	Pampas Fox
423693	Tettigonia cantans	Upland Green Bush-cricket
42408	Bison bison	American Bison
424147	Hyla arborea	European Tree Frog
424371	Ephippiger diurnus	Western Saddle Bush-cricket
424676	Lithobates kauffeldi	Atlantic Coast Leopard Frog
424999	Pauropsalta mneme	Alarm Clock Squawker
42652	Didelphis virginiana	Virginia Opossum
42729	Petaurus australis	Yellow-bellied Glider
42775	Pseudocheirus peregrinus	Common Ring-tailed Possum
42807	Trichosurus cunninghami	Mountain Brush-tailed Possum
42808	Trichosurus vulpecula	Common Brushtail Possum
42888	Macropus giganteus	Eastern Grey Kangaroo
429727	Gampsocleis ussuriensis	Gampsocleis ussuriensis
42983	Phascolarctos cinereus	Koala
43042	Erinaceus europaeus	Common Hedgehog
43048	Erinaceus roumanicus	Northern White-breasted Hedgehog
43086	Procavia capensis	Rock Hyrax
43092	Dendrohyrax arboreus	Southern Tree Hyrax
43175	Ochotona pusilla	Steppe Pika
43188	Ochotona princeps	American Pika
43197	Ochotona collaris	Collared Pika
433701	Gampsocleis glabra	Steppe Spiny Bush-cricket
43372	Callithrix geoffroyi	Geoffroy’s Tufted-ear Marmoset
